id,val_high,p_high,val_low,p_low,val_safe,p_safe
1.0,-8.7,0.06,-22.8,0.94,-21.4,1
2.0,-2.2,0.09,-9.6,0.91,-8.7,1
3.0,-2.0,0.1,-11.2,0.9,-9.5,1
4.0,-1.4,0.02,-9.1,0.98,-9.0,1
5.0,-0.9,0.07,-4.8,0.9299999999999999,-4.7,1
6.0,-4.7,0.91,-18.1,0.08999999999999997,-6.8,1
7.0,-9.7,0.06,-24.8,0.94,-24.2,1
8.0,-5.7,0.96,-20.6,0.040000000000000036,-6.4,1
9.0,-5.6,0.1,-19.4,0.9,-18.1,1
10.0,-2.5,0.6,-5.5,0.4,-3.6,1
11.0,-5.8,0.97,-16.4,0.030000000000000027,-6.6,1
12.0,-7.2,0.05,-16.1,0.95,-15.6,1
13.0,-1.8,0.93,-6.7,0.06999999999999995,-2.0,1
14.0,-6.4,0.2,-22.4,0.8,-18.0,1
15.0,-3.3,0.97,-10.5,0.030000000000000027,-3.2,1
16.0,-9.5,0.1,-24.5,0.9,-23.5,1
17.0,-2.2,0.92,-11.5,0.07999999999999996,-3.4,1
18.0,-1.4,0.93,-4.7,0.06999999999999995,-1.7,1
19.0,-8.6,0.1,-26.5,0.9,-26.3,1
20.0,-6.9,0.06,-20.5,0.94,-20.3,1
21.0,1.8,0.6,-4.1,0.4,1.7,1
22.0,9.0,0.97,-6.7,0.030000000000000027,9.1,1
23.0,5.5,0.06,-3.4,0.94,-2.6,1
24.0,1.0,0.93,-7.1,0.06999999999999995,0.6,1
25.0,3.0,0.2,-1.3,0.8,-0.1,1
26.0,8.9,0.1,-1.4,0.9,-0.9,1
27.0,9.4,0.95,-6.3,0.050000000000000044,8.5,1
28.0,3.3,0.91,-3.5,0.08999999999999997,2.7,1
29.0,5.0,0.4,-6.9,0.6,-3.8,1
30.0,2.1,0.06,-9.4,0.94,-8.4,1
31.0,0.9,0.2,-5.0,0.8,-5.3,1
32.0,9.9,0.05,-8.7,0.95,-7.6,1
33.0,7.7,0.02,-3.1,0.98,-3.0,1
34.0,2.5,0.96,-2.0,0.040000000000000036,2.3,1
35.0,9.2,0.91,-0.7,0.08999999999999997,8.2,1
36.0,2.9,0.98,-9.4,0.020000000000000018,2.9,1
37.0,2.9,0.05,-6.5,0.95,-5.7,1
38.0,7.8,0.99,-9.3,0.010000000000000009,7.6,1
39.0,6.5,0.8,-4.8,0.19999999999999996,6.2,1
40.0,5.0,0.9,-3.8,0.09999999999999998,4.1,1
41.0,20.1,0.95,6.5,0.050000000000000044,19.6,1
42.0,5.2,0.5,1.4,0.5,5.1,1
43.0,12.0,0.5,2.4,0.5,9.0,1
44.0,20.7,0.9,9.1,0.09999999999999998,19.8,1
45.0,8.4,0.07,1.2,0.9299999999999999,1.6,1
46.0,22.6,0.4,7.2,0.6,12.4,1
47.0,23.4,0.93,7.6,0.06999999999999995,22.1,1
48.0,17.2,0.09,5.0,0.91,5.9,1
49.0,18.9,0.9,6.7,0.09999999999999998,17.7,1
50.0,12.8,0.04,4.7,0.96,4.9,1
51.0,19.1,0.03,4.8,0.97,5.2,1
52.0,12.3,0.91,1.3,0.08999999999999997,12.1,1
53.0,6.8,0.9,3.0,0.09999999999999998,6.7,1
54.0,22.6,0.3,9.2,0.7,11.0,1
55.0,6.4,0.09,0.5,0.91,1.5,1
56.0,15.3,0.06,5.9,0.94,7.1,1
57.0,5.3,0.9,1.5,0.09999999999999998,4.7,1
58.0,21.9,0.5,8.1,0.5,12.6,1
59.0,27.5,0.7,9.2,0.30000000000000004,21.9,1
60.0,4.4,0.2,0.7,0.8,1.1,1
