id,val_high,p_high,val_low,p_low,val_safe,p_safe
1.0,-0.3,0.96,-2.1,0.040000000000000036,-0.3,1
2.0,-0.9,0.95,-4.2,0.050000000000000044,-1.0,1
3.0,-6.3,0.3,-15.2,0.7,-12.2,1
4.0,-10.0,0.2,-29.2,0.8,-25.6,1
5.0,-1.7,0.9,-3.9,0.09999999999999998,-1.9,1
6.0,-6.3,0.99,-15.7,0.010000000000000009,-6.4,1
7.0,-5.6,0.7,-20.2,0.30000000000000004,-11.7,1
8.0,-0.7,0.1,-6.5,0.9,-6.0,1
9.0,-5.7,0.95,-16.3,0.050000000000000044,-6.1,1
10.0,-1.5,0.92,-6.4,0.07999999999999996,-1.8,1
11.0,-1.2,0.02,-12.3,0.98,-12.1,1
12.0,-5.4,0.94,-16.8,0.06000000000000005,-6.4,1
13.0,-2.0,0.05,-10.4,0.95,-9.4,1
14.0,-8.8,0.6,-19.5,0.4,-15.5,1
15.0,-8.9,0.08,-26.3,0.92,-25.4,1
16.0,-7.1,0.07,-19.6,0.9299999999999999,-18.7,1
17.0,-9.7,0.1,-24.7,0.9,-23.8,1
18.0,-4.0,0.2,-9.3,0.8,-8.1,1
19.0,-6.5,0.9,-17.5,0.09999999999999998,-8.4,1
20.0,-4.3,0.6,-16.1,0.4,-4.5,1
21.0,2.0,0.1,-5.7,0.9,-4.6,1
22.0,9.6,0.91,-6.4,0.08999999999999997,8.7,1
23.0,7.3,0.8,-3.6,0.19999999999999996,5.6,1
24.0,9.2,0.05,-9.5,0.95,-7.5,1
25.0,7.4,0.02,-6.6,0.98,-6.4,1
26.0,6.4,0.05,-5.3,0.95,-4.9,1
27.0,1.6,0.93,-8.3,0.06999999999999995,1.2,1
28.0,5.9,0.8,-0.8,0.19999999999999996,4.6,1
29.0,7.9,0.92,-2.3,0.07999999999999996,7.0,1
30.0,3.0,0.91,-7.7,0.08999999999999997,1.4,1
31.0,6.7,0.95,-1.8,0.050000000000000044,6.4,1
32.0,6.7,0.93,-5.0,0.06999999999999995,5.6,1
33.0,7.3,0.96,-8.5,0.040000000000000036,6.8,1
34.0,1.3,0.05,-4.3,0.95,-4.1,1
35.0,3.0,0.93,-7.2,0.06999999999999995,2.2,1
36.0,5.0,0.08,-9.1,0.92,-7.9,1
37.0,2.1,0.8,-8.4,0.19999999999999996,1.3,1
38.0,6.7,0.07,-6.2,0.9299999999999999,-5.1,1
39.0,7.4,0.3,-8.2,0.7,-6.9,1
40.0,6.0,0.98,-1.3,0.020000000000000018,5.9,1
41.0,18.8,0.8,7.6,0.19999999999999996,15.5,1
42.0,17.9,0.92,7.2,0.07999999999999996,17.1,1
43.0,22.9,0.06,9.6,0.94,9.2,1
44.0,10.0,0.96,1.7,0.040000000000000036,9.9,1
45.0,2.8,0.8,1.0,0.19999999999999996,2.2,1
46.0,17.1,0.1,6.9,0.9,8.0,1
47.0,24.3,0.04,9.7,0.96,10.6,1
48.0,18.2,0.98,6.9,0.020000000000000018,18.1,1
49.0,13.4,0.5,3.8,0.5,9.9,1
50.0,5.8,0.04,2.7,0.96,2.8,1
51.0,13.1,0.94,3.8,0.06000000000000005,12.8,1
52.0,3.5,0.09,0.1,0.91,0.5,1
53.0,25.7,0.1,8.1,0.9,11.5,1
54.0,16.5,0.01,6.9,0.99,7.0,1
55.0,11.4,0.97,1.9,0.030000000000000027,11.0,1
56.0,26.5,0.94,8.3,0.06000000000000005,25.2,1
57.0,11.5,0.6,3.7,0.4,7.9,1
58.0,20.8,0.99,8.9,0.010000000000000009,20.7,1
59.0,10.1,0.3,4.2,0.7,6.0,1
60.0,8.0,0.92,0.8,0.07999999999999996,7.7,1
